Mėnesinė įmoka;Kreditas;Liko sumokėti;
251.96;131.96;12000.0;
251.96;133.28;11868.04;
251.96;134.61;11734.76;
251.96;135.96;11600.15;
115.0;0.0;11464.19;
115.0;0.0;11464.19;
115.0;0.0;11464.19;
115.0;0.0;11464.19;
115.0;0.0;11464.19;
115.0;0.0;11464.19;
115.0;0.0;11464.19;
251.96;137.32;11464.19;
251.96;138.69;11326.87;
251.96;140.08;11188.18;
251.96;141.48;11048.1;
251.96;142.89;10906.62;
251.96;144.32;10763.73;
251.96;145.77;10619.41;
251.96;147.22;10473.64;
251.96;148.7;10326.42;
251.96;150.18;10177.72;
251.96;151.68;10027.54;
251.96;153.2;9875.86;
251.96;154.73;9722.66;
251.96;156.28;9567.93;
251.96;157.84;9411.65;
251.96;159.42;9253.81;
251.96;161.02;9094.39;
251.96;162.63;8933.37;
251.96;164.25;8770.74;
251.96;165.9;8606.49;
251.96;167.55;8440.59;
251.96;169.23;8273.04;
251.96;170.92;8103.81;
251.96;172.63;7932.89;
251.96;174.36;7760.26;
251.96;176.1;7585.9;
251.96;177.86;7409.8;
251.96;179.64;7231.94;
251.96;181.44;7052.3;
251.96;183.25;6870.86;
251.96;185.08;6687.61;
251.96;186.93;6502.53;
251.96;188.8;6315.6;
251.96;190.69;6126.8;
251.96;192.6;5936.11;
251.96;194.52;5743.51;
251.96;196.47;5548.99;
251.96;198.43;5352.52;
251.96;200.42;5154.09;
251.96;202.42;4953.67;
251.96;204.45;4751.25;
251.96;206.49;4546.8;
251.96;208.56;4340.31;
251.96;210.64;4131.75;
251.96;212.75;3921.11;
251.96;214.88;3708.36;
251.96;217.03;3493.48;
251.96;219.2;3276.45;
251.96;221.39;3057.25;
251.96;223.6;2835.86;
251.96;225.84;2612.26;
251.96;228.1;2386.42;
251.96;230.38;2158.32;
251.96;232.68;1927.94;
251.96;235.01;1695.26;
251.96;237.36;1460.25;
251.96;239.73;1222.89;
251.96;242.13;983.16;
251.96;244.55;741.03;
251.96;247.0;496.48;
251.96;249.47;249.48;
